nodename,batch,solution,version,git,task,data,timestamp,action,stderr,ret,machine_type
ip-172-31-31-147,1697528140,juliads,0.7.18, ,groupby,G1_1e7_1e2_0_0,1697528145.73121,start,,,c6id.metal
ip-172-31-31-147,1697528140,juliads,0.7.18, ,groupby,G1_1e7_1e2_0_0,1697528177.50625,finish,0,0,c6id.metal
ip-172-31-31-147,1697528140,juliads,0.7.18, ,groupby,G1_1e8_1e2_0_0,1697528192.52138,start,,,c6id.metal
ip-172-31-31-147,1697528140,juliads,0.7.18, ,groupby,G1_1e8_1e2_0_0,1697528279.83054,finish,0,0,c6id.metal
ip-172-31-31-147,1697528140,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,groupby,G1_1e7_1e2_0_0,1697528294.84567,start,,,c6id.metal
ip-172-31-31-147,1697528140,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,groupby,G1_1e7_1e2_0_0,1697528317.75899,finish,0,0,c6id.metal
ip-172-31-31-147,1697528140,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,groupby,G1_1e8_1e2_0_0,1697528332.77427,start,,,c6id.metal
ip-172-31-31-147,1697528140,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,groupby,G1_1e8_1e2_0_0,1697528470.21989,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e7_1e2_0_0,1697529453.1956,start,,,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e7_1e2_0_0,1697529469.0621,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e7_1e1_0_0,1697529484.07734,start,,,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e7_1e1_0_0,1697529517.19138,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e7_2e0_0_0,1697529532.20661,start,,,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e7_2e0_0_0,1697529631.44664,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e7_1e2_0_1,1697529646.4619,start,,,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e7_1e2_0_1,1697529656.77265,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e7_1e2_5_0,1697529671.78788,start,,,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e7_1e2_5_0,1697529691.41158,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e8_1e2_0_0,1697529706.4267,start,,,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e8_1e2_0_0,1697529839.94321,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e8_1e1_0_0,1697529854.95846,start,,,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e8_1e1_0_0,1697530173.76002,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e8_2e0_0_0,1697530188.77525,start,,,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e8_2e0_0_0,1697531068.06092,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e8_1e2_0_1,1697531083.07616,start,,,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e8_1e2_0_1,1697531197.43086,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e8_1e2_5_0,1697531212.44637,start,,,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e8_1e2_5_0,1697531350.87979,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e9_1e2_0_0,1697531365.89504,start,,,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e9_1e2_0_0,1697533135.42028,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e9_1e1_0_0,1697533150.43546,start,,,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e9_1e1_0_0,1697536805.60903,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e9_2e0_0_0,1697536820.62429,start,,,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e9_2e0_0_0,1697547640.63063,finish,1,0,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e9_1e2_0_1,1697547655.64581,start,,,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e9_1e2_0_1,1697549332.11161,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e9_1e2_5_0,1697549347.12679,start,,,c6id.metal
ip-172-31-31-147,1697529451,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,groupby,G1_1e9_1e2_5_0,1697551281.90266,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e7_1e2_0_0,1697551296.91789,start,,,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e7_1e2_0_0,1697551326.50408,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e7_1e1_0_0,1697551341.51918,start,,,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e7_1e1_0_0,1697551370.31016,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e7_2e0_0_0,1697551385.32534,start,,,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e7_2e0_0_0,1697551418.54735,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e7_1e2_0_1,1697551433.56259,start,,,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e7_1e2_0_1,1697551459.72459,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e7_1e2_5_0,1697551474.73987,start,,,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e7_1e2_5_0,1697551501.0115,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e8_1e2_0_0,1697551516.02682,start,,,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e8_1e2_0_0,1697551602.68905,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e8_1e1_0_0,1697551617.70435,start,,,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e8_1e1_0_0,1697551721.0913,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e8_2e0_0_0,1697551736.1064,start,,,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e8_2e0_0_0,1697551895.84383,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e8_1e2_0_1,1697551910.85914,start,,,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e8_1e2_0_1,1697551994.70256,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e8_1e2_5_0,1697552009.71779,start,,,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e8_1e2_5_0,1697552092.12336,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e9_1e2_0_0,1697552107.13868,start,,,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e9_1e2_0_0,1697552951.18957,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e9_1e1_0_0,1697552966.20486,start,,,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e9_1e1_0_0,1697553995.17283,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e9_2e0_0_0,1697554010.18802,start,,,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e9_2e0_0_0,1697554470.756,finish,32,1,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e9_1e2_0_1,1697554485.77127,start,,,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e9_1e2_0_1,1697555243.37178,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e9_1e2_5_0,1697555258.38703,start,,,c6id.metal
ip-172-31-31-147,1697529451,juliads,0.7.18, ,groupby,G1_1e9_1e2_5_0,1697556032.48193,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,groupby,G1_1e7_1e2_0_0,1697556047.49716,start,,,c6id.metal
ip-172-31-31-147,1697529451,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,groupby,G1_1e7_1e2_0_0,1697556070.38281,finish,0,0,c6id.metal
ip-172-31-31-147,1697529451,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,groupby,G1_1e7_1e1_0_0,1697556085.39811,start,,,c6id.metal
ip-172-31-31-147,1697529451,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,groupby,G1_1e7_1e1_0_0,1697556109.00954,finish,0,0,c6id.metal
